English Term,POS Tags,Sanskrit Terms
accomplished,,{#sidDaH/nirvfttaH/nizpannaH/sampannaH/kftArTIBftaH/guRavAn/guRI/nipuRaH#}
accomplishment,s.,{#sidDiH/samAptiH/nizpattiH/AsADanaM/nirvvAhaH/rAdDiH/nirvfttiH/kftakftpatA/kftArTatA/svArTasidDiH/guRitA/sampUrRaBAvaH/nipuRatA/parizkAraH#}
accord,v. n.,{#yuj/anurUpaH/sadfSaH/tulyaH/ekacittIBU/sammataH#}
accord,s.,{#sammatiH/EkamatyaM/ekacittatA/samatA/samavAkyaM/svIkararAM/ekatAlaH/svayaM/kAmatas/kAmahEtukaH/ekacittIBUya#}
accordance,s.,{#anusAraH/anurUpatA/sAdfSyaM#}
according,prep.,{#yaTA/anurUpaM/anusAratas/anurUpeRa/anusAreRa/anu/anujyezWaM;/yaTezwaM/yaTABimataM;/yaTASakti#}
accordingly,adv.,{#taTEva/tadanusAratas/tadanurUpeRa#}
accost,v. a.,{#aBiBAz/ABAz/samABAz/aBiDA/Amantr/samAmantr#}
accosted,p. p.,{#aBihitaH/aBiBAzitaH#}
account,s.,{#gaRitaM/vigaRanaM/gaRanA/saNKyAnaM/leKA/mUlyaM/arGaH/sammAnaM/bahumatiH/kaTA/kaTanaM/upAKyAnaM/yaTAtaTaM/yaTAsTitaM;/atas/hetoH/hetO/arTaM/arTe/kfte/nimitte/kAraRAt/kopAt;/uddiS;/yaduddiSya#}
account,v. a.,{#man/manyate/mantuM/mAnayati/mamman/jYA/jAnAti/jAnIte/jYAtuM/gaR/gaRayati/vigaR/saNKyA/kaT/kaTayati/AKyA/nivid#}
accountable,a.,{#parAnuyogADInaH/anusanDeyaH/anu/sanDAnAyattaH/AhvAnADInaH/nyAsaM#}
accountant,s.,{#gaRakaH/leKakaH/lipikAraH/masipaRyaH#}
account-book,s.,{#gaRanApustakaM#}
accoutre,v. a.,{#nah/sannah/pinah/sajjIkf#}
accoutred,,{#sannadDaH/pinadDaH/sajjaH/sajjitaH#}
accoutrement,s.,{#sannAhaH/sajjA/pariDAnaM/alaNkAraH#}
