Entry No,Word Info,Definition,Transliteration
9154,"Sauce,",{%s.%},"sUpaH, temanaM, nizWAnaM; upadaMSaH, vyaM-"
9155,"Saucy,",{%a.%},"Dfzwa, nirvrIqa, nirlajja, pragalBa, a-"
9156,"Saunter,",{%v. i.%},maMdaM maMdaM parikram
9157,"Savage,",{%a.%},"vanya, jAMgala"
9158,"Savant,",{%s.%},"buDajanaH, paMqitaH, vidvajjanaH;"
9159,"Save,",{%v. t.%},rakz
9160,"Savour,",{%s.%},"svAdaH, rasaH, ruci"
9161,"Saw,",{%s.%},"karapatraM, krakacaH-caM, patradAraRaH"
9162,"Say,",{%v. t.%},vad-gad-BaR
9163,"Scab,",{%s.%},kacCu-cCU
9164,"Scabbard,",{%s.%},"koSaH-zaH, piDAnaM, ADAraH"
9165,"Scabrous,",{%a.%},"vizamatala, asamapfzWa"
9166,"Scaffold,",{%s.%},"maMcaH, iMdrakozaH"
9167,"Scald,",{%v. t.%},taptajalAdinA dah
9168,"Scale,",{%s.%},"tulA, DawaH, tulAyaMtraM;"
9169,"Scalene,",{%a.%},vizamatriBuja
9170,"Scall,","{%s. See%} {@Scab, itch.@}",
9171,"Scalp,",{%s.%},mastakatvac
9172,"Scalpel,",{%s.%},laGucCurikA
9173,"Scamp,",{%s. See%} {@Rascal.@},
9174,"Scamper,",{%v. i.%},vi-dru
9175,"Scan,",{%v. t.%},nipuRaM-sUkzmaM-nirUp
9176,"Scandal,",{%s.%},"nirvAdaH, pari (rI) vAdaH, apa-"
9177,"Scant, Scanty,",{%a.%},"aparyApta, apracura, svalpa,"
9178,"Scantling,",{%s.%},kAzWaKaMqaM
9179,"Scape-Goat,",{%s.%},baliH
9180,"Scar,",{%s.%},"kiRaH, aMkaH, cihnaM, kzatacihnaM;"
9181,"Scaramouch,",{%s.%},"BaMqaH, vEhAsikaH"
9182,"Scarce,",{%a.%},"abahula, apracura, apraBUta, a-"
9183,"Scare,",{%v. t.%},tras
9184,"Scarf,",{%s.%},"celakaH, sicayaH; uttarIyaM, celaM;"
9185,"Scarify,",{%v. t.%},tvacaM-carma-ulliK
9186,"Scarlet,",{%a.%},"SoRa, aruRa, siMduravarRa;"
9187,"Scarp,",{%s.%},laMbaH
9188,"Scate,",{%See%} {@Skate.@},
9189,"Scath, Scathe,",{%v. t.%},kzaR
9190,"Scatter,",{%v. t.%},kF
9191,"Scavenge,",{%v. t.%},saM-mfj
9192,"Scene,",{%s.%},"sTalaM, sTAnaM, BUmi"
9193,"Scent,",{%s.%},"gaMDaH, aDivAsaH;"
9194,"Sceptic,",{%s.%},saMdehaBft
9195,"Sceptre,",{%s.%},"daMqaH, rAjadaMqaH-vetraM-yazwi"
9196,"Schedule,",{%s.%},"patraM, leKyaM"
9197,"Scheme,",{%s.%},"upAyaH, kalpanA, prayogaH, saM-"
9198,"Schism,",{%s.%},"BedaH, SAKA, Darma-mata-BedaH"
9199,"Scholar,",{%s.%},"SizyaH, CAtraH, aMtevAsin"
9200,"Scholiast,",{%s.%},"wIkAkAraH, wIkAkft"
9201,"School,",{%s.%},"vidyAlayaH, vidyAgAraM-gfhaM-maMdiraM,"
9202,"Schooner,",{%s.%},dvikUpakA nOH
9203,"Sciatica,",{%s.%},kawiSirAvedanA
9204,"Science,",{%s.%},"vi-, jYAnaM;"
9205,"Scimitar,",{%s.%},"KaqgaH, asiH; nistriMSaH, kara-"
9206,"Scintilla,",{%s.%},"aRuH, kaRaH, sPuliMgaH"
9207,"Sciolist,",{%s.%},"pallavAgrAhipaMqitaH, kiMcijjYaH,"
9208,"Scion,",{%s.%},"navapallavaH; kisalayaH, aMkuraH, prarohaH"
9209,"Scirrhus,",{%s.%},mAMsagraMTiH
9210,"Scissors,",{%s.%},"kartarI, KaMqaDArA, kartarikA,"
9211,Scoff,"(at), {%v.%}",ava-upa-has
9212,"Scold,",{%v. t.%},"nir-, Barts"
9213,"Sconce,",{%s.%},daMqaH
9214,"Scoop,",{%s.%},"darvI, kaMbi-bI"
9215,"Scope,",{%s.%},"ASayaH, aBiprAyaH, hetuH, arTaH,"
9216,"Scorch,",{%v. t.%},aBi-saM-tap
9217,"Score,",{%s.%},viMSati
9218,"Scoria,",{%s. See%} {@Dross.@},
9219,"Scorn,",{%v. t.%},nir-ava-DU
9220,"Scorpio,",{%s.%},vfScikaH
9221,"Scorpion,",{%s.%},vfScikaH
9222,"Scot,",{%s.%},"karaH, deyaBAgaH;"
9223,"Scotch,",{%v. t.%},CedEH aMk
9224,"Scoundrel,",{%s.%},"KaMqitavfttaH, jAlmaH, durAtman"
9225,"Scour,",{%v. t.%},saM-pari-mfj
9226,"Scourge,",{%s.%},"kaSA-zA, pratizkaSaH-zaH, pratodaH,"
9227,"Scout,",{%s.%},"cAraH, caraH, praRiDiH, apasarpaH, gUQa-"
9228,"Scowl,",{%s.%},"BrUBaMgaH, Bru(BrU)kuwi-wI"
9229,"Scraggy,",{%a.%},"rUkza, karkaSa;"
9230,"Scramble,",{%v. i.%},hastAByAM DftvA-maMdaM maMdaM Aruh
9231,"Scrap,",{%s.%},"KaMqaH, SakalaH-laM, lavaH, aMSaH;"
9232,"Scrape,",{%s.%},"kfcCraM, saMkawaM, Apad"
9233,"Scratch,",{%v. t.%},vi-ut-prot-liK
9234,"Scrawl,",{%v. t.%},aspazwaM-sTUlaM-liK
9235,"Scrawny,",{%See%} {@Lean.@},
9236,"Scream,",{%v. i.%},A-ut-vi-kruS
9237,"Screech,",{%See%} {@Scream;@} ‘s. owl’,nakta-
9238,"Screen,",{%s.%},"AvaraRaM, vyavaDA-DAnaM, tiraska-"
9239,"Screw,",{%s.%},"karzaRI, vyAvartanakIlaH"
9240,"Scribble,",{%See%} {@Scrawl.@},
9241,"Scribe,",{%s.%},"leKakaH, lipikAraH, akzaracaRaH,"
9242,"Scrip,",{%s.%},"puwaH, puwI, kzudrakopaH"
9243,"Scripture,",{%s.%},"vedaH, Sruti"
9244,"Scrivener,",{%s.%},kusIdaH;
9245,"Scrofula,",{%s.%},gaMqa-kaMWa-mAlA
9246,"Scroll,",{%s.%},"pawwaH, leKyaM, dIrGapatraM-pawaH"
9247,"Scrotum,",{%s.%},"muzkaH, aMqaH, PalaM, koSaH-zaH,"
9248,"Scrub,",{%v. t.%},atyaMtaM mfj
9249,"Scruple,",{%s.%},"saMdehaH, A-,SaMkA, saMSayaH,"
9250,"Scrutiny,",{%s.%},"nipuRaparIkzaRaM, sUkzmanirUpaRaM-"
9251,"Scud,",{%v. i.%},ativegena-sahasA-gam
9252,"Scuffle,",{%s.%},"tumulaM, niyudDaM, kalahaH, bAhUbAhavi-"
9253,"Sculk,",{%v. i.%},niBate-gUQasTAne-vft
9254,"Scull,",{%s.%},"kapAlaH-laM, SirosTi"
9255,"Scullery,",{%s.%},pAtrakzAlanakuwI
9256,"Scullion,",{%s.%},pAtrakzAlakaH-mArjakaH
9257,"Sculptor,",{%s.%},tvazwf
9258,"Scum,",{%s.%},maMqaH-qaM; PenaH-RaH;
9259,"Scurf,",{%s.%},Suzkacarman
9260,"Scurrile, Scurrilous,",{%a.%},"paruza, tIkzRa; du-"
9261,"Scurvy,",{%s.%},"SItAdaH, lavaRaraktaM"
9262,"Scutcheon,",{%s.%},"kulInacihnapatraM, kOlIna-"
9263,"Scuttle,",{%s.%},"karaMqaH, maMjUzA"
9264,"Scythe,",{%s.%},"lavitraM, dAtraM, KaqgIkaM, Sasyakarta-"
9265,"Sea,",{%s.%},"sAgaraH, samudraH, udaDiH, arRavaH, jala-"
9266,"Seal,",{%s.%},"mudrA,"
9267,"Seam,",{%s.%},saMDiH; sIvanaM;
9268,"Sear,",{%v. t.%},nirdah
9269,"Search,",{%v.%} (For),anviz
9270,"Season,",{%s.%},"ftuH, kAlaH, samayaH;"
9271,"Seat,",{%s.%},"AsanaM, pIWaH-WaM;"
9272,"Secede,",{%v. i.%},apasf
9273,"Seclude,",{%v. t.%},ni-ava-ruD
9274,"Second,",{%a.%},dvitIya;
9275,"Secret,",{%a.%},"ni-, gUQa, gupta, pra-, Canna, niBfta,"
9276,"Secretary,",{%s.%},"kAryADikftaH, sacivaH"
9277,"Secrete,",{%v. t.%},sru
9278,"Sect,",{%s.%},"SAKA, paTin"
9279,Section.,{%s.%},"vi-, BAgaH, CedaH, paricCedaH; KaMqaH"
9280,"Sector,",{%s.%},vfttaKaMqaM
9281,"Secular,",,lOkika-EhalOkika-sAMsArika-Ehi-
9282,"Secure,",{%a.%},"surakzita, akutoBaya, aBaya, ni"
9283,"Sedan,",{%s.%},SibikA
9284,"Sedate,",{%a.%},"DIra, SAMta, stimita, gaMBIra, niru-"
9285,"Sedentary,",{%a.%},"nirudyoga, acapala, avyava-"
9286,"Sedge,",{%s.%},tfRaM
9287,"Sediment,",{%s.%},"malaM, KalaM, kalkaM, kiwwaM, u-"
9288,"Sedition,",{%s.%},"rAjadrohaH, prajAprakopaH, saMkzoBaH,"
9289,"Seduce,",{%v. t.%},duz
9290,"Sedulous,",{%a.%},"udyamin, udyogAsakta, udyama-"
9291,"See,",{%s.%},DarmADyakzADikAraH
9292,"Seed,",{%s.%},"bIjaM,"
9293,"Seek,",{%v.%},anviz
9294,"Seem,",{%v. i.%},BA
9295,"See-Saw,",{%s.%},"unnatAnataM, nimnonnataM"
9296,Seethe.,{%v. t.%},kvaT
9297,"Segment,",{%s.%},"KaMqaH-qaM, vi-, cCedaH;"
9298,"Segregate,",{%v. t.%},viyuj
9299,"Seismal, Seismic,",{%a.%},BUkaMpasaMbaMDin
9300,"Seize,",{%v. t.%},saM-grah
9301,"Seldom,",{%adv.%},"kvacit, kadAcit, viralaM, dur"
9302,"Select,",{%v. t.%},vf
9303,"Selenite,",{%s.%},caMdrakAMtaH
9304,"Self,",{%a.%},"Atman, sva"
9305,"Sell,",{%v. t.%},vi-krI
9306,"Selvage,",{%s. See%} {@Border.@},
9307,"Semblance,",{%s.%},"ABAsaH, ABA, OpamyaM,"
9308,"Semen,",{%s.%},"SukraM, retas"
9309,"Semi,",{%a.%},arDaM
9310,"Seminary,",{%s.%},bIjAropaRasTalaM
9311,"Semi-vowel,",{%s.%},aMtasTaH
9312,"Sempiternal,",{%a. See%} {@Eternal.@},
9313,"Sempstress,",{%s.%},sUcikA
9314,"Senate,",{%s.%},vfdDa-Sizwa-saBA; maMtri-saciva-saBA
9315,"Send,",{%v. t.%},pra-hi
9316,"Senile,",{%a.%},"vfdDa, jarAjanya"
9317,"Senior,",{%a.%},"jyezWa, varizWa, jyAyas, varIyas,"
9318,"Sennight,",{%s.%},"saptarAtraM, saptAhaH"
9319,"Sense,",{%s.%},"iMdriyaM, hfzIkaM, vizayin"
9320,"Sensorium,",{%s.%},"mastizkaM, mastikaM, gordaM, godaM"
9321,"Sensory,",{%a.%},saMvedaka-yitf
9322,"Sentence,",{%s.%},"nirRayaH, daMqAjYA, daMqAdeSaH,"
9323,"Sentiment,",{%s.%},"mataM, aBiprAyaH, budDi"
9324,"Sentinel, Sentry,",{%s.%},rakzin
9325,"Separate,",{%v. t.%},viyuj
9326,"Sepsis,",{%s.%},"vilayanaM, pUtIBavanaM"
9327,"Septangular,",{%a.%},"saptakoRa, saptAsra"
9328,"September,",{%s.%},BAdrapadASvinaM
9329,"Septenary,",{%s.%},saptakaM
9330,"Septennial,",{%a.%},saptavArzika
9331,"Septic, -al,",{%a.%},vilayanakArin
9332,Septilateral.,{%a.%},"saptaBuja, saptapArSva"
9333,Septagenarian.,{%a.%},saptativarzIya
9334,"Septum,",{%s.%},"mahAbIjyaM, viwapaH"
9335,Sepulchre.,{%s.%},"samADiH, pretavAsaH, SmaSAnaM,"
9336,"Sequel,",{%s.%},"uttaraM, uttaraBAgaH, SezaH, SezaBAgaH,"
9337,"Sequence,",{%s.%},"anu-, kramaH, anvayaH, AnupUrvyaM,"
9338,"Sequester, Sequestrate,",{%v.%},viyuj
9339,"Seraglio,",{%s.%},"aMtaHpuraM, avaroDaH, SudDAMtaH, aM-"
9340,"Seraph,",{%s. See%} {@Angel.@},
9341,"Sere,",{%a.%},"Suzka, mlAna, viSIrRa"
9342,"Serene,",{%a.%},"pra-, SAMta, prasanna, akzubDa, stimita,"
9343,"Serf,",{%s.%},"dAsaH, kfzakadAsaH"
9344,"Seriatim,",{%adv.%},"yaTAkramaM, anupUrvaSaH, anu-"
9345,"Series,",{%s.%},"mAlA, paraMparA, rAjiH, SreRiH-RI,"
9346,"Serious,",{%a.%},"ga (gaM) BIra, DIra; gaMBIravftti-"
9347,"Sermon,",{%s.%},"DarmopadeSaH, DarmavyAKyAnaM"
9348,"Serous,",{%a.%},"medasvin, medura"
9349,"Serpent,",{%s.%},"sarpaH, BujagaH, BujaMgaH-gamaH, ahiH,"
9350,"Serpigo,",{%s.%},"dadrumaMqalaM, maMqalakuzwaM"
9351,"Serrate, -ed,",{%a.%},"karapatraniBa, krakacatulya"
9352,"Serried,",{%a.%},"saMhata, saMSlizwa"
9353,"Serum,",{%s.%},medas
9354,"Serve,",{%v. t.%},sev
9355,"Sesame, Sesamum,",{%s.%},"tilaH, sArAlaH,"
9356,"Session,",{%s.%},"upaveSanaM,"
9357,"Set,",{%s.%},"astamayaH, astamanaM, astaH"
9358,"Setateous,",{%a.%},"SUkayukta, bahuSUka"
9359,"Settle,",{%v. t.%},sTA
9360,"Seven,",{%a.%},saptan
9361,"Sever,",{%v. t.%},ava-vi-cCid
9362,"Severe,","{%a,%}","Kara, paruza, tIkzRa, nizWura, kaWora,"
9363,"Sew,",{%v. t.%},siv
9364,"Sewer,",{%s.%},"praRAlI-laH, pari (rI) vAhaH,"
9365,"Sex,",{%s.%} Ex. by,strI
9366,"Sexagenarian,",{%s.%},zazwivarzIya
9367,"Sexangular,",{%a.%},"zaqasra, zawkoRa"
9368,"Sexennial,",{%a.%},zaqvArzika
9369,"Sextant,",{%s.%},vfttazaqBAgaH
9370,"Shabby,",{%a.%},"kutsita, kfpaRa, tucCa, niMdya, apa-"
9371,"Shackle,",{%s.%},"nigaqaH, SfMKalA-laH, baMDanaM, pASaH"
9372,"Shade,",{%s.%},"CAyA,"
9373,"Shaft,",{%s.%},kAMqaH
9374,"Shag,",{%s.%},dfQa-sTUla-loman:
9375,"Shake,",{%v. i.%},"pra-, kaMp-vep-"
9376,"Shallow,",{%a.%},"gADa, uttAna; aga(gaM)BIra,"
9377,"Sham,",{%s.%},"vyapadeSaH, Cadman"
9378,"Shambles,",{%s.%},"SU(sU)nA, sOnasTAnaM"
9379,"Shambling,",{%a.%},"vakra, virUpa"
9380,"Shame,",{%s.%},"lajjA, hrIH, trapA, vrIqA"
9381,"Shampoo,",{%v. t.%},saMvah
9382,"Shank,",{%s.%},jaMGAsTi
9383,"Shanty,",{%See%} {@Hut.@},
9384,"Shape,",{%s.%},"AkAraH, rUpaM, Akfti"
9385,"Shard,",{%s.%},mftpAtraKaMqaH
9386,"Share,",{%v. t.%},saM-viBaj
9387,"Shark,",{%s.%},"grAhaH, nakraH, avahAraH, makaraH;"
9388,"Sharp,",{%a.%},"tIkzRa,"
9389,"Shatter,",{%v. t.%},"vi-, SF"
9390,"Shave,",{%v. t.%},muMq
9391,"She,",{%pron.%},sA;
9392,"Sheaf,",{%s.%} (,Sasya-
9393,"Shear,",{%v. t.%},lU
9394,"Sheath,",{%s.%},"koSaH-zaH, piDAnaM, ADAraH; A-,"
9395,"Shed,",{%v. t.%},"ni-, pat"
9396,"Sheen,",{%a.%},"ujjvala, dIptimat;"
9397,"Sheep,",{%s.%},"mezaH, aviH, uraBraH, UrRAyuH;"
9398,"Sheer,",{%a.%},"SudDa, kevala, mAtra"
9399,"Sheet,",{%s.%},"uttaracCadaH, pracCadaH, pracCadapawaH-"
9400,"Shelf,",{%s.%},kAzWaPalakaH
9401,Shell.,{%s.%},"koSaH-zaH, kaMcukaH, kavacaH-caM, tvac"
9402,"Shelter,",{%s.%},"saM-A-SrayaH, SaraRaM, nivAsasTAnaM"
9403,"Shelve,",{%v. i.%},avasfp
9404,"Shepherd,",{%s.%},"avipAlaH, mezapAlaH"
9405,"Sherd,",{%s.%},"KaMqaH-qaM, SakalaH-laM"
9406,"Shew,",{%v. t. See%} {@Show.@},
9407,"Shield,",{%s.%},carman
9408,"Shift,",{%s.%},"upAyaH, pra-, yukti"
9409,"Shilly-Shally,",{%s.%},"anavasTA, aniScayaH,"
9410,"Shimmer,",{%v. i. See%} {@Gleam.@},
9411,"Shin,",{%s.%},"agrajaMGA, pAdaH;"
9412,"Shine,",{%v. i.%},prakAS
9413,"Shingle,",{%s.%},"SarkarA, SilAKaMqaH"
9414,"Ship,",{%s.%},"potaH; yAnaM, pravahaRaM,"
9415,"Shirk,",{%v.%},savyAjaM-Calena-parihf
9416,"Shirt,",{%s.%},"yutakaM, colaH, aDovasanaM-vastraM"
9417,"Shiver,",{%v. i.%},kaMp-vep-
9418,"Shoal,",{%s.%},"gADasTalaM, sEkataM, pulinaM"
9419,"Shock,",{%s.%},"A-aBi-GAtaH, nirGAtaH, saM-vi-"
9420,"Shoe,",{%s.%},upAnah
9421,"Shoot,",{%s.%},"pallavaH-vaM, kisa(Sa)layaH-yaM, pra-"
9422,"Shop,",{%s.%},"SAlA, paRya"
9423,"Shore,",{%s.%},"kUlaM, tIraM, tawaM, velA, roDas"
9424,"Short,",{%a.%} (Of time),"alpa, stoka, svalpa;"
9425,"Should,","Ex. by pot. pass. part. ‘I s.
think so’","ahaM tAvadevaM manye, iti mama matiH"
9426,"Shoulder,",{%s.%},"skaMDaH, aMsaH, BujaSiras"
9427,"Shout,",{%s.%},"ravaH, kalakalaH, utkroSaH, ninAdaH,"
9428,"Shove,",{%v. t.%},pra-sf
9429,"Shovel,","{%s,%}","KanitraM, aBri"
9430,"Show,",{%v. t.%},dfS
9431,"Shower,",{%s.%},vfzwi
9432,"Shred,",{%s.%},"KaMqaH-qaM, SakalaH-laM; vastra-pawa-KaMqaH"
9433,"Shrew,",{%s.%},"vakra-vAma-SIlA, karkaSA ugra-kadu-"
9434,"Shrewd,",{%a.%},"catura, vidagDa, vicakzaRa, nipuRa,"
9435,"Shriek,",{%v. i.%},paruzaM AkraMd
9436,"Shrike,",{%s.%},"kaliMgaH, piMgaH, DUmyA"
9437,"Shrill,",{%a.%},"karkaSa, paruza, tIvra, pawu, karRakawu,"
9438,"Shrimp,",{%s.%},"iMcAkaH, jalavfScikaH"
9439,"Shrine,",{%s.%},"puRyasTAnaM, devAyatanaM, tIrTaM"
9440,"Shrink,",{%v. i.%},saMkuc-AkuMc-saMhf-saMkzip-
9441,"Shrivel,",{%v. i.%},saMkuc-AkuMc-viSF
9442,"Shroud,",{%s.%},"AcCAdanaM, AvaraRaM, piDAnaM"
9443,"Shrub,",{%s.%},"gulmaH-lmaM, viwapin"
9444,"Shrug,",{%v.%} (,asaMtozadarSanArTaM skaMDO
9445,"Shudder,",{%v. i.%},vep-kaMp
9446,"Shuffle,",{%v. i.%},ni-apa-hnu
9447,"Shun,",{%v. t.%},pari-hf
9448,"Shut,",{%v. t.%},api-pi-DA
9449,"Shuttle,",{%s.%},"mallikaH, sUtravezwaH-zwanaM, ta(tra)saraH"
9450,"Shy,",{%a.%},"salajja, SAlIna, vinIta, savrIqa"
9451,"Sibilant,",{%s.%},Uzman
9452,"Sibyl,",{%s.%},"sidDA, sidDastrI"
9453,"Sick,",{%a.%},"Atura, pIQita, vyADita, rujArta,"
9454,"Sickle,",{%s.%},"dAtraM, lavitraM, SasyakartanI"
9455,"Side,",{%s.%},"pArSvaH-rSva; pakza,"
9456,"Sidereal,",{%a.%},"tArA, nakzatra"
9457,"Sidle,",{%v. i.%},tiryak gam
9458,"Siege,",{%s.%},"upa-, ava-, roDaH, parivezwanaM;"
9459,"Siesta,",{%s.%},divAnidrA
9460,"Sieve,",{%s.%},"cAlanI, titauH"
9461,"Sift,",{%v. t.%},pfTak kf
9462,"Sigh,",{%s.%},"ni (niH) SvAsaH, ucCvAsaH, ucCva-"
9463,"Sight,",{%s. See%} under {@See.@},
9464,"Sign,",{%s.%},"cihnaM, lakzaRaM, liMgaM, aBijYAnaM, lAM-"
9465,"Signior,",{%s.%},AryaH
9466,"Silent,",{%a.%},"tURIka, anAlApin, mUka, mO-"
9467,"Silk,",{%s.%},"kOSeyaM, kOSaM, kIwasUtraM; pawwaH, kzOmaM,"
9468,"Sill,",{%s.%},"dehalI, SilA, gfhAvagrahaRI"
9469,"Silly,",{%a.%},"mUrKa, bAliSa, mUQa, alpaDI-mati,"
9470,"Silt,",{%v. t.%} (up),avaruD
9471,"Silvan,",{%a.%},vana
9472,"Silver,",{%s.%},"rUpyaM, rajataM, SvetaM, durvarRaM,"
9473,"Similar,",{%a.%},"sama, samAna, tulya, anuguRa, a-"
9474,"Simile,",{%s.%},"upamA, nidarSanaM"
9475,"Simmer,",{%v. i.%},SanEH pac-kvaT
9476,"Simper,",{%v. i.%},vikftaM smi
9477,"Simple,",{%a.%},"niravayava, asaMkIrRa, asamasta,"
9478,"Simulate,",{%v. t. See%} {@Pretend.@},
9479,"Simultaneous,",{%a.%},eka-sama-kAlika
9480,"Sin,",{%s.%},"pApaM, pAtakaM, enas"
9481,"Since,",{%prep.%},"praBfti, AraBya,"
9482,"Sincere,",{%a.%},"akftrima, nirvyAja, nizkapawa,"
9483,"Sine,",{%s.%},"jyA, jyApiMqaH"
9484,"Sinecure,",{%a.%},"akarmADikfta, karmaSUnyADi-"
9485,"Sinew,",{%s.%},snAyu
9486,"Sing,",{%v. i.%},gE
9487,"Singe,",{%v. t.%},Izad dah
9488,"Single,",{%a.%},"eka, ekAkin, advitIya, kevala,"
9489,"Singular,",{%a.%},"apUrva, apratima, advitIya, a-"
9490,"Sinister,",{%a.%},"amaMgala, aSuBa, akalyARa"
9491,"Sink,",{%v. i.%},ni-masj
9492,"Sinuous,",{%a.%},"kuwila, vakra, arAla, jihma"
9493,"Sinus,",{%s.%},nAqi-qI-li-lI
9494,"Sip,",{%v. t.%},Acam
9495,"Siphon,",{%s.%},"utkzepaRI, vakranAlI"
9496,"Sir,",(Voc.),"Arya; Bavan, BoH;"
9497,"Sirdar,",{%s.%},"mAMqalikaH, sAmaMtaH"
9498,"Sire,",{%s.%} (In addressing),"deva, SrImaddeva,"
9499,"Siren,",{%s.%},"vi-, mohinI,"
9500,"Sirrah,",{%interj.%},"re, are, arere"
9501,"Sirrup,",{%s.%},svAdu
9502,"Sister,",{%s.%},svasf
9503,"Sit,",{%v. i.%},As
9504,"Site,",{%s.%},"sanniveSaH, saM-, sTiti"
9505,"Situate, -ed,",{%a.%},"ava-, sTita, nivizwa; diSya,"
9506,"Sitz-Bath,",{%s.%},kawisnAnaM
9507,"Six,",{%a.%},zaz;
9508,"Size,",{%s.%},"pra-pari-mARaM, mAnaM;"
9509,"Skain, Skein,",{%s.%},paM (piM) ji-jI
9510,"Skate,",{%s.%},himavisarpaRapAdukA
9511,"Skeleton,",{%s.%},kaMkAlaH;
9512,"Sketch,",{%v. t.%},varR
9513,"Skew,",{%a.%},"tiryak, anfju, vizama"
9514,"Skewer,",{%s.%},"SalAkA, kIlaH-lakaH, SaMkuH"
9515,"Skiff,",{%s.%},"tarIH, nO"
9516,"Skill,",{%s.%},"kOSalaM, nEpuRyaM, pawutA, pAwavaM,"
9517,"Skim,",{%s.%},"maMqaH-qaM, PenaH-RaH"
9518,"Skimp,",{%v. i.%},kArpaRyaM samAcar
9519,"Skin,",{%s.%},carman
9520,"Skip,",{%v. i.%},plu
9521,"Skipper,",{%s.%},nOkADipaH
9522,"Skirmish,",{%s.%},"qiMbAhavaH, qiMbaH, qiMbayudDaM"
9523,"Skirt,",{%s.%},"prAMtaH, paryaMtaH, aMtaH, prAMta-paryaMta-BAgaH,"
9524,"Skittish,",{%a.%},"caMcala, capala, tarala"
9525,"Skulk,",{%v. i.%},niBftaM-alakzitaM-sTA
9526,"Skull,",{%s.%},"kapAlaH-laM, karparaH, SirosTi"
9527,"Sky,",{%s.%},naBas
9528,"Slab,",{%s.%},"SilA, SilAtalaM-pawwaH-PalakaH"
9529,"Slabber,",{%v. i.%},lAlAyate
9530,"Slack,",{%a.%},"SiTila, pra-, SlaTa, srasta, galita"
9531,"Slake,",{%v. t.%},"pra-, Sam"
9532,"Slam,",{%v. t.%} (Door),tIvrAGAtena pi-DA
9533,"Slander,",{%s.%},"apa-pari-vAdaH, pESunyaM, piSuna-"
9534,"Slang,",{%s.%},"pralApaH, apaBAzA, aSlIlaM -BAzaRaM,"
9535,"Slant, -ing,",{%a.%},"tiryac, vakra, kuwila, tira-"
9536,"Slap,",{%s.%},"capewikA, capewaH, tala"
9537,"Slash,",{%v. t.%},dIrGaM Cid
9538,"Slattern,",{%s.%},"veSapramattA, aparizkftaveSA"
9539,"Slaughter,",{%v. t.%},viSas
9540,"Slave,",{%s.%},"dAsaH, prezyaH, cewaH, kiMkaraH, BftyaH,"
9541,"Slaver,",{%s. See%} {@Saliva.@},
9542,"Slay,",{%v. t.%},viSas
9543,"Sledge,",{%s.%},acakrayAnaM
9544,"Sledge-hammer,",{%s.%},"mudgaraH, mahAGanaH"
9545,"Sleek,",{%a.%},"mfdu, SlakzRa, snigDa, suKasparSa"
9546,"Sleep,",{%v. i.%},svap
9547,"Sleet,",{%s.%},"SIkaraH, tuzAraH"
9548,"Sleeve,",{%s.%},pippalaH;
9549,"Sleigh,",{%s. See%} {@Sledge.@},
9550,"Sleight,",{%s.%} (Of hand),"hastalAGavaM-kOSalaM,"
9551,"Slender,",{%a.%},"pra-, tanu, kfSa, kzIRa, kzAma;"
9552,"Sleuth,",{%s.%},"padavI, padDati"
9553,"Slice,",{%s.%},"KaMqaH-qaM, SakalaH-laM, CedaH, BAgaH, lavaH"
9554,"Slide,",{%v. i.%},ava-vi-sfp
9555,"Slight,",{%a.%},"su-, alpa, stoka, kzudra, tanu, laGu,"
9556,"Slim,",{%a. See%} {@Slender.@},
9557,"Slime,",{%s.%},"paMkaH, SyAnakardamaH, sAMdra-SyAna-paMkaH"
9558,"Sling,",{%s.%},"sfgaH, BiMdi(da)pAlaH, goPaRA"
9559,"Slink,",{%v. i.%},alakzitaM-niBftaM-apayA
9560,"Slip,",{%v. i.%},"pra-, sKal"
9561,"Slipper,",{%s.%} (,laGu
9562,"Slit,",{%s.%},dIrGacCedaH-veDaH-CidraM
9563,"Slobber,",{%v. i.%},lAlAM sru
9564,"Slop,",{%s.%} (S. s),"aDoMSukaM, aDovasanaM"
9565,"Slope,",{%v. i.%},avasfp
9566,"Slot,",{%s.%},CidraM
9567,"Sloth,",{%s.%},"taMdrA, AlasyaM, taMdri-drI"
9568,"Slouch,",{%v. i.%},alasaM cal
9569,"Slough,",{%s.%},"nirmokaH, kaMcukaH, ahi-BujaMga-"
9570,"Sloven,",{%s.%},avinIta-aparizkfta-veSaH
9571,"Slow,",{%a.%},"maMda,"
9572,"Sludge,",{%s.%},paMkaH
9573,"Slug,",{%s.%},prakzepaRI gulikA
9574,"Sluice,",{%s.%} (,jala-
9575,"Slumber,",{%v. i.%},"pra-, svap"
9576,"Slur,",{%s.%},"kalaMkaH, dUzaRaM, akIrticihnaM"
9577,"Slush,",{%s.%},"kardamaH, sajalapaMkaH"
9578,"Slut,",{%s.%},"baMDakI, avinItA, puMScalI;"
9579,"Sly,",{%a.%},"DUrta, kitava, kApawika-CAdmika-(kI"
9580,"Smack,",{%v. t.%} Ex. by,"gaMDa, svAda"
9581,"Small,",{%a.%},"alpa, stoka,"
9582,"Smart,",{%a.%},"tIkzRamati, kuSAgrabudDi, pradIptaprajYa,"
9583,"Smash,",{%v. t.%},cUrR
9584,"Smatter,",{%v. i.%},alpaM jYA
9585,"Smear,",{%v. t.%},lip
9586,"Smell,",{%s.%},GrARaM;
