Entry No   Transliteration                          Word Info            Definition
319        uBayahastakuSala                         Ambidextrous,@       {%a.%}

320        vyApaka; nipAtin, gAmin                  Ambient,@            {%a.%}

321        dvyarTa, saMdigDArTa, avyakta,           Ambiguous,@          {%a.%}

322        maMqalaM, cakravAlaM, vartulaM           Ambit,@              {%s.%}

323        spfhA, AkAMkzA                           Ambition,@           {%s.%}

324        lalitaM valg                             Amble,@              {%v. i.%}

325        amftaM, suDA, pIyUzaM                    Ambrosia,@           {%s.%}

326        vicar                                    Ambulate,@           {%v. i.%}

327        parAvaskaMdanArTaM                       Ambush, Ambuscade,@  {%s.%} (

328        vfD                                      Ameliorate,@         {%v. t.%}

329        om, Bavatu, evamastu, taTAstu            Amen,@               {%adv.%}

330        parAnuyogADIna, anuviDAyin,              Amenable,@           {%a.%}

331        saM-vi-pari-SuD                          Amend,@              {%v. t.%}

332        ramyatA, manojYatA                       Amenity,@            {%s.%}

333                                                 Amerce,@             {%v. t. See%} {@Punish.@}

334        suSIla, supriya, sujana                  Amiable,@            {%a.%}

335        mEtra                                    Amicable,@           {%a.%}

336        maDye, aMtare, aByaMtare,                Amid,-st,@           {%prep.%}

337        dozin, aparADin                          Amiss,@              {%a.%}

338        mEtrI, snehaBAvaH, saKyaM, saMDiH        Amity,@              {%s.%}

339        yudDasAmagrI, yudDopakaraRAni            Ammunition,@         {%s.%}

340        smfti-BraMSaH-nASaH                      Amnesia,@            {%s.%}

341        rAjakftA                                 Amnesty,@            {%s.%} (

342        maDye, aByaMtare,                        Among,-st,@          {%prep.%}

343                                                 Amoretto,@           {%s.%} Lover, {%q, v.%}

344        kAmuka, premaSIla, rasika, SfMgAra-      Amorous,@            {%a.%}

345        upaci-saMKyA                             Amount,@             {%v. i.%}

346        sTalajalacara                            Amphibious,@         {%a.%}

347        saMdigDavacanaM, SlezaH                  Amphibiology,@       {%s.%}

348        raMgaH, raMgaBUmi                        Amphitheatre,@       {%s.%}

349        viSAla, vipula, bfhat, vistIrRa,         Ample,@              {%a.%}

350        aMgaM Cid                                Amputate,@           {%v. t.%}

351        rakzAkaraMqaH                            Amulet,@             {%s.%}

352        vinud                                    Amuse,@              {%v. t.%}

353        kAlagaRanAyAM pramAdaH                   Anachronism,@        {%s.%}

354        saMvedanAnASaka                          Anæsthetic,@         {%a.%}

355        gUQArTaH                                 Anagogy,@            {%s.%}

356        varRanaM                                 Anagraph,@           {%s.%}

357        sAdfSyaM, samAnatA, saMbaMDaH            Analogy,@            {%s.%}

358        nirakzara, anakzara                      Analphabete,@        {%s.%}

359        vyAkf                                    Analyze,@            {%v. t.%}

360        kAmaSAmaka                               Anaphrodisiac,@      {%a.%}

361        aSAsanaM, anISvaratA, rAjavi-            Anarchy,@            {%s.%}

362        aBiSApaH, SApaH, AkroSaH                 Anathema,@           {%s.%}

363        pfTakkaraRaM, vicCedaH                   Anatomy,@            {%s.%}

364        pUrvapuruzaH;                            Ancestor,@           {%s.%}

365        nObaMDanakIlaH-laM, lAMgalaM             Anchor,@             {%s.%}

366        yatiH, AraRyakaH, saMnyAsin              Anchorite,@          {%s.%}

367        purARa, purAtana                         Ancient,@            {%a.%}

368        dviSIrzaka                               Ancipital,@          {%a.%}

369        ca                                       And,@                {%conj.%}

370        dviliMgaviSizwa                          Androgynous,@        {%a.%}

371        tElena aByaMj                            Aneal,@              {%v. t.%}

372        prAyaH,                                  Anear,@              {%adv.%}

373        kaTA, upAKyAnaM, AKyAyikA                Anecdote,@           {%s.%}

374        vAyuvegadigdarSakaM yaMtraM              Anemograph,@         {%s.%}

375        vAyuvegamApakaM yaMtraM                  Anemometer,@         {%s.%}

376        uddiSya, aDikftya, vizaye                Anent,@              {%prep.%}

377        punaH, punarapi                          Anew,@               {%adv.%}

378        devadUtaH, ISvaraprezyaH, svargadUtaH,   Angel,@              {%s.%}

379        kroDaH, kopaH, amarzaH, rozaH, manyuH    Anger,@              {%s.%}

380        asraH, koRaH                             Angle,@              {%s.%}

381        paritApaH, pIqA, bADA, vedanA,           Anguish,@            {%s.%}

382        ucCvasanaM, hfdayakaMpaH, vepaTuH        Anhelation,@         {%s.%}

383        niMd                                     Animadvert,@         {%v. i.%}

384        jaMtuH, prARin                           Animal,@             {%s.%}

385        jIv                                      Animate,@            {%v. t.%}

386        dvezaH, vEraM, viroDaH, mAtsaryaM        Animosity,@          {%s.%}

387        codanA, uddeSaH                          Animus,@             {%s.%}

388        CatrA, sAleyaH                           Anise,@              {%s.%}

389        gulPaH, GuwikA                           Ankle,@              {%s.%}

390        nUpuraH-raM, maMjIraM                    Anklet,@             {%s.%}

391        vArzikavfttAMtaH, vArzikavfttetihAsaH    Annals,@             {%s.%}

392        saMyuj                                   Annex,@              {%v. t.%}

393        ut-samut-Cid                             Annihilate,@         {%v. t.%}

394        sAMvatsarika-vArzika                     Anniversary,@        {%a.%}

395        wIkAM-BAzyaM-liK                         Annotate,@           {%v. t.%}

396        AKyA                                     Announce,@           {%v. t.%}

397        bAD                                      Annoy,@              {%v. t.%}

398        vArzika-sAMvatsarika-Abdika              Annual,@             {%a.%}

399        vArzikaM vetanaM                         Annuity,@            {%s.%}

400        vi-ava-lup                               Annul,@              {%v. t.%}

401        maMqalAkAra, valayAkAra                  Annular,@            {%a.%}

402        kzudravalayaH-yaM                        Annulet,@            {%s.%}

403        SUlaGnaM                                 Anodyne,@            {%s.%}

404        lip                                      Anoint,@             {%v. t.%}

405        viDi-niyama-viroDaH, aniyamaH,           Anomaly,@            {%s.%}

406        sapadi, SIGraM, Jawiti;                  Anon,@               {%adv.%}

407        avidita-anirdizwa-leKaka-                Anonymous,@          {%a.%}

408        anya-itara-para-apara,                   Another,@            {%a.%}

409        uttaraM dA                               Answer,@             {%v. i.%}

410        pipIlikA                                 Ant,@                {%s.%}

411        pratipakzaH, vipakzaH, SatruH, vEri-     Antagonist,@         {%s.%}

412        dakziRakeMdrIya                          Antarctic,@          {%a.%}

413        pUryagAmin, pUrvagata                    Antecedent,@         {%a.%}

414                                                 Antechamber,@        {%s. Sec%} {@‘Antichamber.’@}

415        prAktanadinaM liK                        Antedate,@           {%v. t.%}

416        viSvapralayAt prAg vartamAna             Antediluvian,@       {%a.%}

417        kfzRasAraH, hariRaH, eRaH, mfgaH,        Antelope,@           {%s.%}

418        prAktana                                 Anterior,@           {%a,%}

419        ISvarastuti                              Anthem,@             {%s.%}

420        mAnavajAtiSAstraM                        Anthropology,@       {%s.%}

421        kravyASinaH                              Anthropophagi,@      {%s.%}

422        BaMqaH, vEhAsikaH                        Antic,@              {%s.%}

423        upaSAlA                                  Antichamber,@        {%s.%}

424        pUrvaM prAgeva-jYA                       Anticipate,@         {%v. t.%}

425        vizaGno'gadaH, prativizaM;               Antidote,@           {%s.%}

426        srotoMjanaM, yAmunaM, sOvIraM            Antimony,@           {%s.%}

427        viroDaH, vEraM, dvaMdvaBAvaH, vidvezaH;  Antipathy,@          {%s.%}

428        pratiDvaniH, pratigAnaM                  Antiphony,@          {%s.%}

429        pratilomaM;                              Antipodes,@          {%s.%}

